 vinflavor.1.title: "The Last Norse Bastion"
 vinflavor.1.desc: "Initially established as an administrative region under the Kingdom of Denmark, the [ROOT.GetCountry.GetName] has gradually evolved into a de facto independent entity, particularly following the Danish monarch's abandonment of our traditional religion. Historically, the [ROOT.GetCountry.GetName] was centered around five key [ShowLocationName('lincoln')], [ShowLocationName('leicester')], [ShowLocationName('derby')], [ShowLocationName('nottingham')], and [ShowLocationName('rutland')]—that served as cultural and administrative hubs, forming the backbone of the region's strength.\nHowever, following numerous conflicts, only [ShowLocationName('lincoln')], our capital, remains as the sole remaining borough.\nThe reconquest of our stolen territory constitutes the first step toward reestablishing ourselves as the sovereign rulers of this land."
 vinflavor.1.a: "May the gods assist us in this endeavor"

 vinflavor.2.title: "The Birth of a New Kingdom"
 vinflavor.2.desc: "The five founding boroughs of [ROOT.GetCountry.GetName] have been successfully restored, and these cities will now serve as the cultural and political centers of the nation.\nWith the reclaiming of its territory, the country is prepared to transition from an aspirational state to a duly established kingdom.\nToday marks the birth of a new Kingdom, the Kingdom of [ROOT.GetCountry.GetName]."
 vinflavor.2.a: "Long Live [ROOT.GetCountry.GetName]!"

 vinflavor.3.title: "Lincún has Fallen!"
 vinflavor.3.desc: "Lincún, or [ShowLocationName('lincoln')] as the English call it, was a key [ROOT.GetCountry.GetAdjective] city of the [ROOT.GetCountry.GetName] for centuries before finally being lost to the invasor.\nMay the Gods have mercy!"
 vinflavor.3.a: "Hard times are ahead of us"
 vinflavor.4.title: "Rebuilding [ShowLocationName('leicester')]"
 vinflavor.4.desc: "[ShowLocationName('leicester')], one of the five founding boroughs, has, after decades of neglect by the English authorities, been reduced to an abandoned and forgotten land. Fortunately, a group of aristocrats from the [ROOT.GetCountry.GetGovernment.GetEstateName('nobles_estate')|l] has assembled nearly sufficient funds to undertake the restoration of the town and restore it to its former glory; however, they require a modest contribution from the state to initiate the project."
 vinflavor.4.a: "[ShowLocationName('leicester')] shall be restored!"
 vinflavor.4.b: "We cannot afford that."
 vinflavor.4.c: "Those funds will better used in the hands of the state."
 vinflavor.5.title: "Rebuilding [ShowLocationName('nottingham')]"
 vinflavor.5.desc: "[ShowLocationName('nottingham')], one of the five founding boroughs, has, after decades of neglect by the English authorities, been reduced to an abandoned and forgotten land. Fortunately, a group of aristocrats from the [ROOT.GetCountry.GetGovernment.GetEstateName('nobles_estate')|l] has assembled nearly sufficient funds to undertake the restoration of the town and restore it to its former glory; however, they require a modest contribution from the state to initiate the project."
 vinflavor.5.a: "[ShowLocationName('nottingham')] shall be restored!"
 vinflavor.5.b: "We cannot afford that."
 vinflavor.5.c: "Those funds will better used in the hands of the state."
 vinflavor.6.title: "Rebuilding [ShowLocationName('derby')]"
 vinflavor.6.desc: "[ShowLocationName('derby')], one of the five founding boroughs, has, after decades of neglect by the English authorities, been reduced to an abandoned and forgotten land. Fortunately, a group of merchants from the [ROOT.GetCountry.GetGovernment.GetEstateName('burghers_estate')|l] has assembled nearly sufficient funds to undertake the restoration of the town and restore it to its former glory; however, they require a modest contribution from the state to initiate the project."
 vinflavor.6.a: "[ShowLocationName('derby')] shall be restored!"
 vinflavor.6.b: "We cannot afford that."
 vinflavor.6.c: "Those funds will better used in the hands of the state."
 vinflavor.7.title: "Rebuilding [ShowLocationName('rutland')]"
 vinflavor.7.desc: "[ShowLocationName('rutland')], one of the five founding boroughs, has, after decades of neglect by the English authorities, been reduced to an abandoned and forgotten land. Fortunately, a group of merchants from the [ROOT.GetCountry.GetGovernment.GetEstateName('burghers_estate')|l] has assembled nearly sufficient funds to undertake the restoration of the town and restore it to its former glory; however, they require a modest contribution from the state to initiate the project."
 vinflavor.7.a: "[ShowLocationName('rutland')] shall be restored!"
 vinflavor.7.b: "We cannot afford that."
 vinflavor.7.c: "Those funds will better used in the hands of the state."
 vinflavor.8.title: "A New Capital?"
 vinflavor.8.desc: "Numerous members of the [ROOT.GetCountry.GetGovernment.GetEstateName('nobles_estate')|l] have articulated their aspiration for the [ROOT.GetCountry.GetName] to establish hegemonic dominance over the North Sea, while also noting that [ShowLocationName('london')] would geographically serve as a more advantageous location to advance such ambitions."
 vinflavor.8.a: "[ROOT.GetCountry.GetCapital.GetName] shall remain the capital!"
 vinflavor.8.b: "Why not [ShowLocationName('boston')]?"
 vinflavor.8.c: "And so [ShowLocationName('london')] shall become the new capital!"
